id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27579378,Charming apartment in the heart of Quebec,13127715,David,,Saint-Jean-Baptiste,46.80722,-71.2268,Entire home/apt,110,1,14,2019-01-01,0.36,1,0,0,
27583361,Oasis chaleureux dans le Vieux-Québec,115418007,Lise,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81398,-71.21237,Entire home/apt,60,30,3,2019-09-01,0.10,2,179,0,
27600952,La campagne en ville !,76962255,Lucie,,Saint-Roch,46.81512,-71.22932,Private room,50,1,11,2020-02-29,0.51,1,70,0,
27675598,Le Studio - Loft - Old city (CITQ #247 656),58932059,Laury Jane,,Saint-Roch,46.81408,-71.22428,Entire home/apt,63,1,81,2021-10-15,2.14,4,34,17,
27702354,Appartement Zen + private parking !,23113230,Sophie,,Maizerets,46.837292,-71.216049,Private room,60,2,101,2019-08-17,2.58,2,15,2,298098
27777457,Loft du Foulon,209619812,Claude,,Sillery,46.76806,-71.2595,Private room,65,2,5,2021-10-06,0.13,1,365,1,
27799880,Chambre privée dans un grand 4 1/2 au centre-ville,209917076,Stéphanie,,Saint-Sauveur,46.81202,-71.23495,Private room,49,2,32,2019-10-06,0.82,1,0,0,
27891820,PlayRoom Appartement (3 Bdr),86545933,Jean-Pierre,,Vieux-Moulin,46.84607,-71.21118,Entire home/apt,100,1,173,2021-09-05,4.43,3,335,56,
27919534,"SUPERIOR  Condo 2 BEDROOMS, Gym, Free Int. Parking",96692488,Simon,,Neufchâtel-Est/Lebourgneuf,46.84195,-71.31056,Entire home/apt,93,30,2,2018-12-23,0.09,18,179,0,
27956490,"Le bonheur et la tranquilité , mon hâvre de paix",211162193,Simon,,Chutes-Montmorency,46.86595,-71.17022,Entire home/apt,150,2,8,2020-02-16,0.23,1,0,0,
28007945,Le chaleureux,200936006,Antoine,,Saint-Sauveur,46.80743,-71.23496,Entire home/apt,72,180,64,2019-09-12,1.66,1,0,0,
28013196,Cozy appartement au centre-ville,180364774,Sylvie,,Saint-Jean-Baptiste,46.81196,-71.21739,Entire home/apt,105,7,0,,,1,0,0,
28126542,The Urban Ricochet - Rustic-Chic room,16540519,Xavier,,Saint-Roch,46.8143,-71.23093,Private room,160,2,17,2018-12-24,0.46,1,145,0,
28134642,Petit loft quartier branché centre-ville de Québec,205325113,Isabelle,,Saint-Roch,46.81488,-71.22838,Entire home/apt,76,2,76,2021-10-07,1.96,2,155,13,
28182200,V-LE COQUET PETIT LOFT à Limoilou,197954157,Joanne,,Maizerets,46.83857,-71.22153,Entire home/apt,69,1,211,2021-08-26,5.52,3,354,38,
28200181,Le cœur de la basse-ville!,195679363,Gabriel,,Saint-Sauveur,46.81484,-71.2383,Entire home/apt,110,1,83,2020-01-01,2.17,1,0,0,
28242861,Le St-Sauveur,213319404,Luc,,Saint-Sauveur,46.80739,-71.24718,Entire home/apt,186,2,13,2021-09-06,0.35,1,244,7,
28249120,Le Saint-Bonaventure,166681018,Sebas,,Saint-Sauveur,46.80977,-71.24221,Entire home/apt,106,1,118,2021-07-28,3.27,1,19,21,
28288395,Le Cozy ZEN+ Downtown Quebec | w/ Private parking,206247976,Ken,,Vieux-Limoilou,46.82191,-71.22357,Entire home/apt,97,1,152,2021-10-10,3.99,1,130,26,
28365715,Au cœur du Vieux-Québec,202595041,Mo,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81264,-71.21193,Entire home/apt,207,7,0,,,1,365,0,
28379219,At The Pier,55781565,Suzanne & JL,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81719,-71.20602,Entire home/apt,75,2,75,2020-02-16,2.00,1,0,1,
28408324,Bienvenue!,214475614,Denis,,Quartier 5-4,46.87137,-71.17701,Private room,60,2,44,2019-08-17,1.17,2,0,0,
28412267,Charming Apartment - Quartier Montcalm,84605013,Jean-Michel,,Montcalm,46.79889,-71.24093,Entire home/apt,119,1,6,2020-02-16,0.20,1,0,0,
28433295,Maison familiale individuelle à : Qc region,1321072,Laurier Et Carole,,Plateau,46.77951,-71.32165,Private room,86,100,0,,,1,0,0,
28464919,La Chouenneuse (studio) - no 301518,205203171,Lise,,Saint-Sauveur,46.80903,-71.25172,Entire home/apt,86,2,115,2021-10-03,3.02,1,329,39,
28498369,Lovely room/Bed/parking/It is not in a basement!,105777160,Mosi,,Cité Universitaire,46.78437,-71.26639,Private room,139,1,16,2019-10-12,0.43,8,0,0,
28516151,"Vieux Québec, logement tout inclus au mois",173721814,Jhon / Richard,,Saint-Jean-Baptiste,46.80918,-71.22545,Entire home/apt,55,30,1,2019-03-31,0.03,1,0,0,
28519787,Comfo Studio - Recup Deco - 15 minutes of Québec,9741702,Karmen,,Duberger-Les Saules,46.81148,-71.31924,Private room,40,1,75,2019-09-25,1.96,4,0,13,
