id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17419257,Fitzgerald,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27355,-66.05302,Private room,95,1,126,2021-08-16,5.03,10,362,32,
17435788,Starfish Apartment - 2brm 1bth - Sunny & Private,53734273,Hendie,Westmorland,Botsford,46.15527,-64.18182,Entire home/apt,100,1,73,2019-09-24,1.81,1,0,0,
17507025,Your Home Away From Home,36211549,Tim & Catherine,Kings,Rothesay,45.39952,-65.88191,Private room,95,1,43,2019-09-13,1.09,1,127,2,
17632789,Fully furnished 1 bedrm suite - Downtown Moncton,93644538,Lorraine,Westmorland,Moncton,46.09295,-64.79019,Entire home/apt,92,4,16,2017-08-07,0.30,13,0,0,
17742559,Bear Den,117165636,Cindy,York,Kingsclear,45.87223,-66.88275,Private room,140,1,5,2019-09-01,0.10,3,364,0,
17742632,Cricket Hollow,117165636,Cindy,York,Kingsclear,45.87221,-66.88166,Hotel room,150,1,5,2021-10-04,0.10,3,314,2,
17742668,Eagle Eye,117165636,Cindy,York,Kingsclear,45.8719,-66.88085,Private room,145,1,4,2019-12-15,0.08,3,31,0,
17790761,"Seaside Cottage, sleeps 8, pool, AC",9942327,Brian,Kent,Dundas,46.28147,-64.57275,Entire home/apt,700,14,2,2018-03-10,0.04,1,229,0,
17831884,Historical home - 2 bdrm. Suite -All inclusive.,121322838,Positive ❤️Heart Living.P,York,Fredericton,45.94685,-66.63406,Entire home/apt,109,1,182,2019-11-09,3.50,4,157,45,
17846732,Cottage Chic Loft- Downtown 2 Bedroom - Water View,10898681,Janis,Charlotte,Saint Andrews,45.07393,-67.05364,Entire home/apt,159,2,90,2019-10-06,3.47,2,352,6,
18031565,Home Away from Home in beautiful beach community,64882764,Jenny,Westmorland,Shediac,46.22501,-64.53312,Entire home/apt,150,5,26,2021-09-04,0.93,1,65,8,
18053551,Beautiful Riverfront Home Utopia,101663829,Melissa,Charlotte,Saint George,45.14313,-66.8338,Entire home/apt,450,3,18,2021-10-18,0.44,1,363,6,
18174539,Cute One Bedroom Cottage with Ocean View,120135986,Patrick,Albert,Alma,45.60608,-64.94781,Entire home/apt,149,2,136,2020-12-21,2.73,3,303,38,
18176410,Ruffed Grouse Lodge,125339197,Rod,Northumberland,Derby,46.84874,-65.72558,Entire home/apt,314,2,65,2019-05-05,1.68,1,74,20,
18226260,Chambre en famille acadienne #1,84571371,Christian Et Mylene,Gloucester,Saumarez,47.50144,-64.93715,Private room,60,2,3,2017-08-16,0.06,2,87,0,
